uberon_id	uberon_name	positive_evidence	no_negative_evidence
UBERON:0004473	musculature of face	1	1
UBERON:0004818	terminal bronchus epithelium	0	1
UBERON:0012317	vagina orifice	1	1
UBERON:0008907	dermal bone	1	1
UBERON:3000110	crista contacta	0	1
UBERON:0001164	greater curvature of stomach	1	1
UBERON:0006599	presumptive hypochord	0	1
UBERON:0017690	internal surface of frontal bone	1	1
UBERON:2000466	anal depressor	0	0
UBERON:0004893	interalveolar septum	0	1
UBERON:0010061	lumen of nasopharynx	1	1
UBERON:2002265	epineural 3	0	1
UBERON:0005407	sublingual ganglion	1	1
UBERON:0034699	inflow tract of atrium	1	1
UBERON:0008584	vertical muscle of tongue	1	1
UBERON:0011792	feather muscle	0	0
UBERON:0001063	flocculus	1	1
UBERON:0003131	arthropod tibia	0	0
UBERON:0008195	tarsometatarsus	0	0
UBERON:0006058	multi-limb segment region	1	1
UBERON:3010118	quadrato-orbital commissure	0	1
UBERON:0009061	anterior air sac	0	0
UBERON:2000735	hemal postzygapophysis	0	0
UBERON:0015488	sural nerve	1	1
UBERON:2001406	kinethmoid bone	0	1
UBERON:0006239	future central tendon	1	1
UBERON:0034965	middle thyroid vein	1	1
UBERON:0007688	anlage	1	1
UBERON:0004816	larynx epithelium	1	1
UBERON:3000944	pseudoarciferal girdle	0	1
UBERON:0001735	tonsillar ring	1	1
UBERON:0009583	spinal cord mantle layer	0	1
UBERON:5012261	manual major digit (Aves) plus metapodial segment	0	0
UBERON:0014762	fused metapodial bones 2-4	0	1
UBERON:2001430	pneumatic duct	0	1
UBERON:2001167	vertebral element 1	0	1
UBERON:0018306	bulge	0	1
UBERON:0008845	nonskeletal ligament	1	1
UBERON:0004255	forelimb stylopod muscle	1	1
UBERON:0006120	superior colliculus superficial gray layer	1	1
UBERON:0014918	retrosplenial granular cortex	0	1
UBERON:0010677	manual digit 3 phalanx cartilage element	1	1
UBERON:0002443	choroidal blood vessel	1	1
UBERON:0015106	distal tarsal bone 2 cartilage	1	1
UBERON:0016453	lower secondary premolar tooth	1	1
UBERON:0001316	external iliac vein	1	1
UBERON:0015510	body of corpus callosum	1	1
UBERON:2000430	secondary gustatory tract	0	1
UBERON:0003506	chest blood vessel	0	1
UBERON:0009714	intermaxillary process	1	1
UBERON:0010358	arch of centrum of vertebra	1	1
UBERON:0012428	proximal convoluted tubule brush border	0	1
UBERON:0006246	humerus pre-cartilage condensation	1	1
UBERON:0001390	sural artery	1	1
UBERON:0000416	subdural space	1	1
UBERON:0004238	spleen smooth muscle	0	1
UBERON:0006050	digit 3	1	1
UBERON:0008804	stylopharyngeus muscle	1	1
UBERON:0001280	liver parenchyma	1	1
UBERON:0012170	core of nucleus accumbens	1	1
UBERON:2002082	basal fulcrum	0	0
UBERON:0003241	epithelium of utricle	1	1
UBERON:0006676	muscularis mucosa	1	1
UBERON:3000954	hypobranchial I	0	1
UBERON:0002171	lower lobe of right lung	1	1
UBERON:0002419	skin gland	1	1
UBERON:0008594	zygomaticus minor muscle	1	1
UBERON:0014915	genu of facial nerve	1	1
UBERON:2001017	myotome somite 22	0	1
UBERON:2001924	occipital artery foramen	0	1
UBERON:0007811	craniocervical region	1	1
UBERON:0015788	olfactory apparatus chamber	1	1
UBERON:0019242	pedal digit 2, 3 or 4	1	1
UBERON:3000763	epicoracoid bridge	0	1
UBERON:0013556	Brodmann (1909) area 25	1	1
UBERON:0001812	palpebral conjunctiva	1	1
UBERON:0004333	proximal phalanx of pedal digit 2	1	1
UBERON:2000319	branchiostegal membrane	0	0
UBERON:0009065	anterior thoracic air sac	0	0
UBERON:0011783	feather follicle placode	0	0
UBERON:0001816	autonomic nerve plexus	1	1
UBERON:0007190	paracentral gyrus	1	1
UBERON:0006488	third cervical spinal cord segment	1	1
UBERON:0003914	epithelial tube	1	1
UBERON:0002512	corpus luteum	1	1
UBERON:0000083	mesonephric tubule	1	1
UBERON:0017716	thenar eminence	1	1
UBERON:2000174	caudal cerebellar tract	0	1
UBERON:0008459	prezygapophysis of cervical vertebra	1	1
UBERON:3000642	maxillopalatine tooth	0	1
UBERON:0010413	parametrial fat pad	0	1
UBERON:3000672	posterolateral process	0	1
UBERON:3000628	ventral ramus of squamosal	0	1
UBERON:0015029	manual digit 5 phalanx endochondral element	1	1
UBERON:0035425	falx cerebelli	1	1
UBERON:0018646	premolar 5	0	1
UBERON:0006459	third thoracic spinal cord segment	1	1
UBERON:0001610	lingual artery	1	1
UBERON:4300012	clavus	0	1
UBERON:0004335	proximal phalanx of pedal digit 4	1	1
UBERON:3010464	animal cap inner layer	0	1
UBERON:0011768	pineal gland stalk	0	1
UBERON:0000476	acellular anatomical structure	1	1
UBERON:0006851	renal cortex peritubular capillary	0	1
UBERON:0034926	anatomical row	1	1
UBERON:0002458	spinal artery	1	1
UBERON:0006047	interdigital region between pedal digits 4 and 5	1	1
UBERON:0008456	prezygapophysis of lumbar vertebra	1	1
UBERON:3010127	fringe on postaxial edge of Finger IV	0	1
UBERON:0003594	pelvis connective tissue	0	1
UBERON:3000745	webbing of bone in vertebral column	0	1
UBERON:0005809	cortex of manus bone	0	1
UBERON:0003945	somatic motor system	0	1
UBERON:0002411	clitoris	1	1
UBERON:0004798	respiratory system basal lamina	0	1
UBERON:0011104	epiphysis of fifth metacarpal bone	1	1
UBERON:4200110	prepectoral spine	0	1
UBERON:2001672	dorsal fin radial bone	0	0
UBERON:2000212	granular eminence	0	1
UBERON:0035564	parvocellular superficial pretectal nucleus	0	0
UBERON:0002728	entorhinal cortex	1	1
UBERON:0035006	preputial swelling of female	0	1
UBERON:0003894	liver primordium	1	1
UBERON:0009202	vasa recta descending limb	0	1
UBERON:2002151	vertebral element 11	0	1
UBERON:0005334	oral lamina propria	1	1
UBERON:0018313	cheek scale row	0	0
UBERON:1000017	tip of external ear	0	1
UBERON:0035207	deep fibular nerve	1	1
UBERON:2005030	dorsal ciliary vein	0	1
UBERON:0003495	respiratory system arteriole	0	1
UBERON:0026723	inferior parietal sulcus	0	1
UBERON:0007619	limiting membrane of retina	1	1
UBERON:0018276	egg tooth	0	0
UBERON:0006465	ninth thoracic spinal cord segment	1	1
UBERON:0016435	chest wall	1	1
UBERON:0005566	rhombomere 1 floor plate	1	1
UBERON:0004781	gall bladder lamina propria	0	1
UBERON:0000021	cutaneous appendage	1	1
UBERON:0027331	hemispheric part of the flocculonodular lobe of the cerebellum	0	1
UBERON:0006914	squamous epithelium	1	1
UBERON:0014409	metacromion	0	1
UBERON:0009548	hepatic sinusoid of left of lobe of liver	1	1
UBERON:0001565	geniohyoid muscle	1	1
UBERON:0018351	precerebral fontanelle	0	1
UBERON:3010665	ramule palatinus	0	1
UBERON:4200111	prepelvic fin spine	0	1
UBERON:2000532	lateral division	0	0
UBERON:0035422	circumflex branch of left coronary artery	1	1
UBERON:0013496	unbarbed keratin-coated spine	0	0
UBERON:0004396	epiphysis of second metatarsal bone	1	1
UBERON:0002175	intermediolateral nucleus	1	1
UBERON:2001997	parietal-supraoccipital	0	1
UBERON:0013776	skin of palmar/plantar part of autopod	1	1
UBERON:2000902	hypural musculature	0	0
UBERON:0010538	paired limb/fin segment	1	1
UBERON:0004204	outer medullary collecting duct	0	1
UBERON:2000364	hypural	0	0
UBERON:2002108	buccal papilla	0	1
UBERON:0011583	stylopodial skeleton	0	1
UBERON:0004946	submucosa of ileum	1	1
UBERON:0006871	footplate	1	1
UBERON:0010580	pedal digit 1 phalanx pre-cartilage condensation	1	1
UBERON:3010164	ulnar fold	0	1
UBERON:2002266	epineural 4	0	1
UBERON:0002105	vestibulo-auditory system	1	1
UBERON:0001130	vertebral column	1	1
UBERON:3000950	os triangulare	0	1
UBERON:0007647	ectomeninx	1	1
UBERON:0016542	limbic cortex	1	1
UBERON:0003448	manus nerve	0	1
UBERON:0011767	vagus X nerve right recurrent laryngeal branch	1	1
UBERON:0010197	trunk of common carotid artery	1	1
UBERON:2000609	ventrolateral nucleus	0	1
UBERON:0012253	cervical squamo-columnar junction	0	1
UBERON:0004414	proximal epiphysis of phalanx of manus	1	1
UBERON:0026546	principal neuronal circuit	0	1
UBERON:0016637	lateral periolivary nucleus	1	1
UBERON:0002314	midbrain tectum	1	1
UBERON:0004710	pectoral appendage	1	1
UBERON:1000021	skin of face	1	1
UBERON:0014534	external medullary lamina of thalamus	1	1
UBERON:0019246	palmar skin crease	0	1
UBERON:0007383	enveloping layer of ectoderm	1	1
UBERON:0001310	umbilical artery	1	1
UBERON:0006121	hemispheric lobule VIII	1	1
UBERON:0014852	chorda tendinea of right ventricle	1	1
UBERON:0007776	unerupted tooth	0	1
UBERON:0009027	vesical artery	1	1
UBERON:0013138	coronary ligament of liver	1	1
UBERON:0015048	basioccipital endochondral element	1	1
UBERON:3000405	pars inferior of labyrinth	0	1
UBERON:0003143	pupa	0	0
UBERON:0004869	parietal organ	0	0
UBERON:2001948	anal-fin hook	0	0
UBERON:0018348	petrosal bone	1	1
UBERON:0005656	lens vesicle epithelium	1	1
UBERON:0003307	floor plate of midbrain	1	1
UBERON:0002320	glomerular mesangium	1	1
UBERON:0003979	utricle valve	0	1
UBERON:0001244	internal anal sphincter	1	1
UBERON:3000756	crista dorsalis humeri	0	1
UBERON:0005293	cerebellum lobe	1	1
UBERON:0003461	shoulder bone	1	1
UBERON:2001782	pelvic fin lepidotrichium 7	0	0
UBERON:0011132	intercarpal joint	1	1
UBERON:0007298	pronephric proximal convoluted tubule	0	1
UBERON:0000088	trophoblast	1	1
UBERON:0013500	glossopharyngeal-vagus IX-X ganglion complex	0	1
UBERON:0006244	hip joint primordium	1	1
UBERON:0005364	superior vagus X ganglion	1	1
UBERON:0007750	metatarsophalangeal joint of pedal digit 1	1	1
UBERON:0004380	proximal epiphysis	1	1
UBERON:0005121	metanephric long descending thin limb bend	0	1
UBERON:0014887	distal epiphysis of distal phalanx of digit	1	1
UBERON:0004938	submucosa of biliary tree	1	1
UBERON:0004727	cochlear nerve	1	1
UBERON:3010523	M. plantaris longus	0	1
UBERON:0008798	rugal fold of vagina	1	1
UBERON:0011192	superior ophthalmic vein	1	1
UBERON:3000663	parahyoid	0	1
UBERON:2002174	octaval nerve motor nucleus	0	1
UBERON:0002116	ileum	1	1
UBERON:0001584	left subclavian artery	1	1
UBERON:0009976	hypothalamo-hypophyseal system	1	1
UBERON:0017672	abdominal viscera	1	1
UBERON:0014277	piriform cortex layer 1	0	1
UBERON:0018544	trigeminal nerve muscle	1	1
UBERON:2000913	molecular layer valvula cerebelli	0	0
UBERON:0018370	ventral lateral line	0	0
UBERON:0004989	mucosa of appendix	1	1
UBERON:0019312	ventrolateral nucleus of solitary tract	1	1
UBERON:3010794	oral ramule	0	0
UBERON:0004267	back connective tissue	0	1
UBERON:2002273	ctenoid scale	0	0
UBERON:0006194	renal sinus of right kidney	1	1
UBERON:0000344	mucosa	1	1
UBERON:0015019	rib endochondral element	1	1
UBERON:2000933	myotome somite 5	0	1
UBERON:0012486	muscle layer of cloaca	0	1
UBERON:0015079	proximal carpal cartilage	1	1
UBERON:0015840	incisor dental lamina	0	1
UBERON:0014616	dorsal nerve root of thoracic spinal cord	0	1
UBERON:0034921	multi organ part structure	1	1
UBERON:0010709	pelvic complex	1	1
UBERON:0010535	primitive metanephric nephron	1	1
UBERON:0001311	inferior vesical artery	1	1
UBERON:0002956	granular layer of cerebellar cortex	1	1
UBERON:0011917	thalamic glomerulus	0	1
UBERON:0000071	death stage	0	1
UBERON:0005570	rhombomere 2 floor plate	1	1
UBERON:0000048	pinhole eye	0	1
UBERON:0011978	epiphysis of middle phalanx of manus	1	1
UBERON:0011614	basihyal element	0	1
UBERON:0005921	middle nasal concha	1	1
UBERON:3000767	pelvic girdle opening	0	1
UBERON:2000205	external ventral flexor	0	0
UBERON:0004666	interventricular septum membranous part	1	1
UBERON:2001767	pectoral fin lepidotrichium 7	0	0
UBERON:2001472	anterior lateral line neuromast	0	0
UBERON:0008967	centrum semiovale	1	1
UBERON:2000381	lateral line sensory nucleus	0	1
UBERON:0003447	digit nerve of manus	0	1
UBERON:0000961	thoracic ganglion	1	1
UBERON:0001574	palatoglossus muscle	1	1
UBERON:2001433	posterior sclerotic bone	0	0
UBERON:0005403	ventral striatum	1	1
UBERON:0006932	vestibular epithelium	1	1
UBERON:2000033	intermediate cell mass of mesoderm	0	1
UBERON:0010399	spleen trabecular artery	0	1
UBERON:2002161	ural centrum 4	0	0
UBERON:0010209	plica semilunaris of conjunctiva	1	1
UBERON:0034707	differentiating neuroepithelium	1	1
UBERON:3010138	trabecular horn	0	1
UBERON:0001792	ganglionic layer of retina	1	1
UBERON:0009969	stato-acoustic epithelium	1	1
UBERON:0013589	koniocortex	0	1
UBERON:0013412	crotaphion	0	1
UBERON:0001946	inferior colliculus	1	1
UBERON:2002262	anal fin spine	0	0
UBERON:0000998	seminal vesicle	1	1
UBERON:3000659	postchoanal process	0	1
UBERON:0002160	nucleus prepositus	1	1
UBERON:0004665	muscular coat of seminal vesicle	1	1
UBERON:2001614	anal fin middle radial bone	0	0
UBERON:3010058	dermal annular fold	0	0
UBERON:0022352	medial orbital frontal cortex	0	1
UBERON:0034803	stratum lacunosum-moleculare of caudal CA2	1	1
UBERON:0002566	superior precentral sulcus	1	1
UBERON:0004189	glomerular endothelium	0	1
UBERON:0007123	pharyngeal pouch 2	1	1
UBERON:0004657	mandible condylar process	1	1
UBERON:2000620	autopalatine	0	1
UBERON:0022326	molecular layer of dorsal cochlear nucleus	0	1
UBERON:0010854	skin of front of neck	1	1
UBERON:2001899	ceratobranchial 1 element	0	1
UBERON:0005980	pectinate muscle	1	1
UBERON:0001445	skeleton of pes	1	1
UBERON:2001964	epibranchial 3 bone uncinate process cartilage	0	1
UBERON:0034918	anterior pretectal nucleus	1	1
UBERON:0035605	enteropneust trunk	0	1
UBERON:0005701	lower jaw molar odontogenic papilla	1	1
UBERON:0004602	rib 2	1	1
UBERON:0018241	prime adult stage	0	1
UBERON:0008810	nasopalatine nerve	1	1
UBERON:0001557	upper respiratory tract	1	1
UBERON:0006544	kidney vasculature	1	1
UBERON:0035158	dorsolateral prefrontal cortex layer 6	0	1
UBERON:0001631	thoracic duct	1	1
UBERON:0002607	superior rostral sulcus	1	1
UBERON:0035580	nucleus geniculatus of pretectum	0	0
UBERON:0004160	proepicardium	1	1
UBERON:0015837	incisor dental pulp	0	1
UBERON:0025589	catecholamine system	0	1
UBERON:0004936	submucosa of pyloric antrum	1	1
UBERON:0035083	transverse process-bearing vertebra	0	1
UBERON:3000170	fenestra precerebralis	0	1
UBERON:0006029	interdigital region between manual digits 2 and 3	1	1
UBERON:0004741	cleithrum	0	0
UBERON:0007187	pericardial parietal mesothelium	1	1
UBERON:0018262	dorsal zone of medial entorhinal cortex	0	1
UBERON:0001912	lobule of mammary gland	1	1
UBERON:0014477	thoracic skeleton	1	1
UBERON:0005726	chemosensory system	1	1
UBERON:2001279	branchiostegal ray 1	0	1
UBERON:0010687	pedal digit metatarsal pre-cartilage condensation	1	1
UBERON:3010818	hepatic peritoneum	0	1
UBERON:4100009	pedal digit 7 phalanx	0	1
UBERON:0035547	posterior ciliary vein	1	1
UBERON:0002668	oculomotor nerve root	1	1
UBERON:0005777	glomerular basement membrane	1	1
UBERON:0008909	perichordal bone	0	1
UBERON:0016630	neurovascular bundle	1	1
UBERON:2000286	superficial lateralis	0	1
UBERON:0014389	gustatory papilla of tongue	1	1
UBERON:0013181	blowhole ligament	0	0
UBERON:0002022	insula	1	1
UBERON:0018131	periovarian fat pad	0	1
UBERON:0012256	digestive syncytial vacuole	0	1
UBERON:0000383	musculature of body	1	1
UBERON:0034952	intrapleuroperitoneal lymph sac	0	1
UBERON:2001720	caudal principal ray 8	0	0
UBERON:0010362	endoskeleton	0	1
UBERON:0001176	right hepatic duct	1	1
UBERON:2001022	myotome somite 9	0	1
UBERON:0004315	distal phalanx of pedal digit 1	1	1
UBERON:0001201	serosa of stomach	1	1
UBERON:0003430	neck nerve	0	1
UBERON:0002565	olivary pretectal nucleus	1	1
UBERON:0014287	medial accessory olive	0	1
UBERON:3010431	archenteron floor	0	1
UBERON:2002020	hypomaxilla	0	1
UBERON:0012112	ingested food	1	1
UBERON:2007004	epiphysial cluster	0	1
UBERON:0009620	tail bud paraxial mesoderm	1	0
UBERON:0005002	mucosa of right hepatic duct	1	1
UBERON:0002110	gall bladder	1	1
UBERON:0004183	labyrinthine layer blood vessel	0	0
UBERON:0015158	ophthalmotemporal branch of external ophthalmic artery	0	0
UBERON:0000005	chemosensory organ	1	1
UBERON:0007263	intervertebral disk of sixth cervical vertebra	1	1
UBERON:0007753	metatarsophalangeal joint of pedal digit 2	1	1
UBERON:0014485	distal phalanx of digit 3	1	1
UBERON:0035551	deep vasculature	1	1
UBERON:0001187	testicular artery	1	1
UBERON:0014446	acetabular notch	1	1
UBERON:0014754	P4 area of pallium (Myxiniformes)	0	0
UBERON:0011288	stomochord	0	0
UBERON:0010695	mesenchyme of tarsal region	1	1
UBERON:0001985	corneal endothelium	1	1
UBERON:2000839	sclerotome somite 9	0	1
UBERON:3010673	m. rhomboideus anterior	0	1
UBERON:0003096	middle lateral line	0	0
UBERON:0010176	nutrient foramen artery	1	1
UBERON:0014462	ptychocyst	0	0
UBERON:0018226	pulmonary part of lymphatic system	1	1
UBERON:3010743	M. flexor antibrachii lateralis superficialis	0	1
UBERON:0022274	lacrimal papilla	1	1
UBERON:0010071	layer of tympanic membrane	1	1
UBERON:2005275	hyomandibular foramen	0	1
UBERON:2007045	midbrain hindbrain boundary neural keel	0	1
UBERON:0006855	muscular coat of ureter	1	1
UBERON:3000966	angulosplenial	0	1
UBERON:0000950	gracilis	1	1
UBERON:0004199	S-shaped body	1	1
UBERON:0005488	superior mesenteric plexus	1	1
UBERON:0005306	blastema	0	1
UBERON:0002529	limb segment	1	1
UBERON:0003567	abdomen connective tissue	1	1
UBERON:0007629	medial septal complex	1	1
UBERON:0000947	aorta	1	1
UBERON:0018298	stylocone	0	1
UBERON:0034764	remnant of cardiac valve	1	1
UBERON:0000387	meniscus	1	1
UBERON:0000211	ligament	1	1
UBERON:0011932	pilosebaceous unit	1	1
UBERON:0001580	levator labii superioris	1	1
UBERON:0010212	laryngeal apparatus	1	1
UBERON:0006534	renal convoluted tubule	1	1
UBERON:0009078	pessulus	0	0
UBERON:0017261	intertarsal sesamoid	0	1
UBERON:0006634	lingual vein	1	1
UBERON:0001267	femoral nerve	1	1
UBERON:0007257	intervertebral disk of sacral vertebra	0	1
UBERON:3000580	stylus of pars media plectri	0	1
UBERON:0003134	female reproductive organ	1	1
UBERON:0008254	styliform cartilage	0	1
UBERON:0010801	calcaneum pre-cartilage condensation	0	1
UBERON:0009959	lumen of oropharynx	1	1
UBERON:0003555	spinal cord pia mater	1	1
UBERON:3000451	posterior ramus of pterygoid	0	1
UBERON:0022425	anterior corona radiata	1	1
UBERON:0006499	dorsal pes interosseous muscle	1	1
UBERON:0002271	periventricular zone of hypothalamus	1	1
UBERON:0035119	diastema between incisors	0	1
UBERON:0017749	withers	0	1
UBERON:0005388	photoreceptor array	1	1
UBERON:0001733	soft palate	1	1
UBERON:0004129	growth plate cartilage	0	1
UBERON:2000767	hypaxial region somite 11	0	1
UBERON:0002287	optic recess of third ventricle	1	1
UBERON:2202027	pectoral fin proximal radial cartilage 2	0	0
UBERON:2005099	ray vein	0	1
UBERON:2001795	ceratohyal foramen	0	1
UBERON:0016446	hair of head	1	1
UBERON:3010131	orbital cartilages	0	1
UBERON:0001775	ciliary body	1	1
UBERON:0010293	suprachoroid lamina	1	1
UBERON:0013538	Brodmann (1909) area 7	1	1
UBERON:0014559	CA3 stratum lacunosum moleculare	1	1
UBERON:0022427	posterior corona radiata	1	1
UBERON:2001191	supraneural 2 bone	0	1
UBERON:0034672	lateral eminence of fourth ventricle	1	1
UBERON:0018424	petrosal foramen	1	1
UBERON:0011625	inferior horn of thyroid cartilage	1	1
UBERON:0001779	iris stroma	1	1
UBERON:3010072	M. pyriformis	0	1
UBERON:0007770	osphradium	0	0
UBERON:1000024	parenchyma of spleen	1	1
UBERON:0004866	actinopterygian frontal bone	0	1
UBERON:2005273	intestinal mucosal muscle	0	1
UBERON:0006561	non-lymphatic part of lymphoid system	1	1
UBERON:0000429	enteric plexus	1	1
UBERON:0003709	circle of Willis	1	1
UBERON:2001901	ceratobranchial 3 element	0	1
UBERON:0009863	ascidian ciliated funnel	0	0
UBERON:0015445	anterior lingual gland duct	0	1
UBERON:0013716	branch of ilio-marsupialis muscle	0	0
UBERON:0004128	optic vesicle	1	1
UBERON:2000307	vestibulolateralis lobe	0	1
UBERON:0004502	skeletal muscle tissue of biceps brachii	1	1
UBERON:0003128	cranium	1	1
UBERON:2002041	parapophysis 6	0	1
UBERON:0003352	epithelium of midgut	1	1
UBERON:0001833	lip	1	1
UBERON:0005406	perirenal fat	1	1
UBERON:0015056	ischial endochondral element	1	1
UBERON:0014882	distal epiphysis of distal phalanx of manual digit 2	1	1
UBERON:0018108	superior auricular muscle	1	1
UBERON:0000349	limbic system	1	1
UBERON:0009633	root of sacral nerve	1	1
UBERON:3000878	intumescentia bilateralis superior	0	1
UBERON:0015150	dorsal hair	1	1
UBERON:0007272	pectoral appendage skeleton	1	1
UBERON:0007991	proximal sesamoid bone of manus	0	1
UBERON:0004707	pharyngula stage	0	1
UBERON:0000994	spermathecum	0	1
UBERON:0007301	appendage blood vessel	1	1
UBERON:1600008	pelvic fin distal radial element	0	0
UBERON:0002043	dorsal raphe nucleus	1	1
UBERON:0010207	nictitating membrane	0	0
UBERON:2001789	dorsal fin spine 1	0	0
UBERON:0022262	auditory radiation	1	1
UBERON:2001502	epiphyseal bar	0	1
UBERON:0006196	mesonephric sinus	0	1
UBERON:2000703	ventral motor nucleus trigeminal nerve	0	1
UBERON:0018340	midbody melanophore spot	0	1
UBERON:0003426	dermis adipose tissue	0	1
UBERON:2000372	interpeduncular nucleus medulla oblongata	0	1
UBERON:2000460	adipose fin actinotrichium	0	0
UBERON:0004868	tapetum lucidum of camera-type eye	0	0
UBERON:0011318	capsule of temporomandibular joint	1	1
UBERON:0003695	metacarpophalangeal joint	1	1
UBERON:2001281	branchiostegal ray 2	0	1
UBERON:0013188	monkey lips dorsal bursa complex	0	0
UBERON:0003091	thyroid primordium	1	1
UBERON:0012480	cloacal mucosa	0	1
UBERON:0005042	inner epithelial layer of tympanic membrane	1	1
UBERON:4300008	epipleural series	0	1
UBERON:0009506	mesenchyme of middle ear	1	1
UBERON:0003318	mesenchyme of elbow	1	1
UBERON:0001991	cervical ganglion	1	1
UBERON:0011175	fusiform nucleus of stria terminalis	0	1
UBERON:0007144	embryonic post-anal tail	1	0
UBERON:0006145	dorsal digital artery of pes	1	1
UBERON:0011963	talocalcaneonavicular joint	1	1
UBERON:0012294	navicular fossa of spongiose part of urethra	1	1
UBERON:0001766	anterior chamber of eyeball	1	1
UBERON:2000464	otic lateral line	0	0
UBERON:0001597	masseter muscle	1	1
UBERON:0005389	transparent eye structure	1	1
UBERON:0011869	pisiform joint	1	1
UBERON:0001679	ethmoid bone	1	1
UBERON:0001350	coccyx	1	0
UBERON:0014889	left hemisphere of cerebellum	1	1
UBERON:0004382	epiphysis of humerus	1	1
UBERON:0000076	external ectoderm	1	1
UBERON:0001877	medial septal nucleus	1	1
UBERON:0000979	tibia	1	1
UBERON:2000788	mesenchyme dorsal fin	0	0
UBERON:0035042	middle temporal artery	1	1
UBERON:3000809	accessory articulation	0	1
UBERON:3000547	rostral process	0	1
UBERON:2002235	presumptive ventral mesoderm	0	1
UBERON:0007312	pudendal artery	1	1
UBERON:0035590	nucleus interstitio-pretectalis-subpretectalis	0	0
UBERON:0002930	tectopontine tract	1	1
UBERON:0006125	subdivision of diagonal band	1	1
UBERON:0011384	superior pancreaticoduodenal vein	0	1
UBERON:0006696	mammillothalamic axonal tract	1	1
UBERON:0001404	radial artery	1	1
UBERON:2002185	climbing fiber	0	0
UBERON:0005031	mucosa of upper lip	1	1
UBERON:0001531	right common carotid artery plus branches	1	1
UBERON:0016910	frenulum of lip	1	1
UBERON:0010354	Reichert's cartilage pre-cartilage condensation	1	1
UBERON:2000959	sclerotome somite 26	0	1
UBERON:0000303	adductor longus	1	1
UBERON:0004729	nematode larval stage	0	0
UBERON:3000539	recessus marsupiatus of premaxilla	0	1
UBERON:0007334	nidopallium	0	0
UBERON:0005737	swim bladder tunica externa	0	0
UBERON:0001977	serum	1	1
UBERON:4200076	trunk armor pectoral fenestra	0	1
UBERON:0005340	dorsal telencephalic commissure	1	1
UBERON:0004397	epiphysis of third metatarsal bone	1	1
UBERON:2005039	anterior lateral mesoderm	0	1
UBERON:4100012	postacetabular zone	0	1
UBERON:2001879	rib of vertebra 1	0	1
UBERON:0004319	distal phalanx of pedal digit 5	1	1
UBERON:0006949	cervical loop	0	1
UBERON:0006648	adventitia of seminal vesicle	1	1
UBERON:0012459	antler pedicle	0	0
UBERON:0003505	trachea blood vessel	0	1
UBERON:2000983	somite 9	0	1
UBERON:0017634	xenarthrale	0	0
UBERON:0013559	Brodmann (1909) area 28	1	1
UBERON:0003946	placenta labyrinth	0	0
UBERON:0001253	lamina propria of ureter	1	1
UBERON:0017652	intermaxillary gland (sensu Osteolepiformes)	0	1
UBERON:0009207	geschmacksstreifen	0	1
UBERON:0002447	palatine gland	1	1
UBERON:2001659	upper pharyngeal tooth	0	1
UBERON:0022341	piriform cortex layer 2b	0	1
UBERON:0005622	right dorsal aorta	1	1
UBERON:0014861	glaucothoe stage	0	0
UBERON:0007807	connecting stalk vasculature	1	1
UBERON:0012067	primary bronchiole	1	1
UBERON:0004022	germinal neuroepithelium	1	1
UBERON:0002793	dorsal longitudinal fasciculus of pons	1	1
UBERON:0009060	air sac	0	0
UBERON:0000121	perineurium	1	1
UBERON:0018543	lumen of intestine	1	1
UBERON:0023932	Sommer's sector	0	1
UBERON:0013442	postorbital process	0	1
UBERON:0013491	cervical fascia	1	1
UBERON:2001408	infraorbital 3	0	1
UBERON:0003420	mesenchyme of sublingual gland	0	1
UBERON:0010402	epidermis suprabasal layer	0	1
UBERON:0003833	abdominal segment muscle	1	1
UBERON:0005641	otocyst epithelium	1	1
UBERON:0003708	carotid sinus	1	1
UBERON:0001561	subcostal artery	1	1
UBERON:0003499	brain blood vessel	1	1
UBERON:0005841	cervical spinal cord dorsal column	1	1
UBERON:0019320	precordial region	1	1
UBERON:0002977	triangular septal nucleus	1	1
UBERON:0035295	left ear	1	1
UBERON:0008812	hemipenis	0	0
UBERON:0000911	chyle	1	1
UBERON:0005969	eye trabecular meshwork	1	1
UBERON:0008937	visceral hump	0	0
UBERON:0003449	tail intervertebral disc	0	0
UBERON:0011389	bulbospongiosus muscle	1	1
UBERON:0009948	clavicular air sac	0	0
UBERON:2200646	anal fin distal radial cartilage	0	0
UBERON:0002958	medial lemniscus of pons	1	1
UBERON:0009029	pudendal vein	1	1
UBERON:0005423	developing anatomical structure	1	1
UBERON:2001943	metapterygoid-autopalatine ligament	0	1
UBERON:3010737	M. palmaris longus	0	1
UBERON:0011864	tendon collagen fibril	0	1
UBERON:2001250	pharyngobranchial 2 bone	0	1
UBERON:0016939	distal marginal ridge of tooth	0	1
UBERON:0018356	rostral entotympanic element	0	1
UBERON:0002191	subiculum	1	1
UBERON:2001606	caudal scute	0	1
UBERON:0004623	sacral vertebra 2	1	1
UBERON:0001467	shoulder	1	1
UBERON:0011769	cartilaginous projection	0	1
UBERON:0003130	arthropod sternum	0	0
UBERON:0012081	patella pre-cartilage condensation	0	1
UBERON:0012324	transverse cervical artery	1	1
UBERON:2001298	vagal placode 2	0	1
UBERON:0023443	superficial feature part of forebrain	0	1
UBERON:0009114	cervical thymus	0	1
